time,lat,lon,tavg
7/1/2008,27.812532,-97.395836,28.120117
8/1/2008,27.812532,-97.395836,28.769531
9/1/2008,27.812532,-97.395836,26.830078
10/1/2008,27.812532,-97.395836,22.90039
11/1/2008,27.812532,-97.395836,19.54004
12/1/2008,27.812532,-97.395836,15.209961
1/1/2009,27.812532,-97.395836,14.830078
2/1/2009,27.812532,-97.395836,18.19043
3/1/2009,27.812532,-97.395836,18.889648
4/1/2009,27.812532,-97.395836,23.230469
5/1/2009,27.812532,-97.395836,26.90039
6/1/2009,27.812532,-97.395836,29.179688
7/1/2009,27.812532,-97.395836,30.79004
8/1/2009,27.812532,-97.395836,30.769531
9/1/2009,27.812532,-97.395836,27.410156
10/1/2009,27.812532,-97.395836,24.20996
11/1/2009,27.812532,-97.395836,18.549805
12/1/2009,27.812532,-97.395836,11.419922
1/1/2010,27.812532,-97.395836,12.129883
2/1/2010,27.812532,-97.395836,11.830078
3/1/2010,27.812532,-97.395836,17.04004
4/1/2010,27.812532,-97.395836,22.049805
5/1/2010,27.812532,-97.395836,26.45996
6/1/2010,27.812532,-97.395836,28.950195
7/1/2010,27.812532,-97.395836,29.179688
8/1/2010,27.812532,-97.395836,30.139648
9/1/2010,27.812532,-97.395836,27.299805
10/1/2010,27.812532,-97.395836,23.549805
11/1/2010,27.812532,-97.395836,18.839844
12/1/2010,27.812532,-97.395836,15.450195
1/1/2011,27.812532,-97.395836,12.790039
2/1/2011,27.812532,-97.395836,14.30957
3/1/2011,27.812532,-97.395836,20.34961
4/1/2011,27.812532,-97.395836,24.30957
5/1/2011,27.812532,-97.395836,25.669922
6/1/2011,27.812532,-97.395836,28.69043
7/1/2011,27.812532,-97.395836,29.919922
8/1/2011,27.812532,-97.395836,30.759766
9/1/2011,27.812532,-97.395836,28.769531
10/1/2011,27.812532,-97.395836,24.04004
11/1/2011,27.812532,-97.395836,19.759766
12/1/2011,27.812532,-97.395836,14.6796875
1/1/2012,27.812532,-97.395836,15.889648
2/1/2012,27.812532,-97.395836,16.320312
3/1/2012,27.812532,-97.395836,21.169922
4/1/2012,27.812532,-97.395836,24.25
5/1/2012,27.812532,-97.395836,26.320312
6/1/2012,27.812532,-97.395836,28.950195
7/1/2012,27.812532,-97.395836,29.330078
8/1/2012,27.812532,-97.395836,29.969727
9/1/2012,27.812532,-97.395836,27.740234
10/1/2012,27.812532,-97.395836,24.339844
11/1/2012,27.812532,-97.395836,20.230469
12/1/2012,27.812532,-97.395836,17.34961
1/1/2013,27.812532,-97.395836,14.5703125
2/1/2013,27.812532,-97.395836,17.580078
3/1/2013,27.812532,-97.395836,18.860352
4/1/2013,27.812532,-97.395836,21.070312
5/1/2013,27.812532,-97.395836,25.129883
6/1/2013,27.812532,-97.395836,28.889648
7/1/2013,27.812532,-97.395836,29.370117
8/1/2013,27.812532,-97.395836,29.5
9/1/2013,27.812532,-97.395836,28.410156
10/1/2013,27.812532,-97.395836,24.769531
11/1/2013,27.812532,-97.395836,16.830078
12/1/2013,27.812532,-97.395836,12.839844
1/1/2014,27.812532,-97.395836,12.19043
2/1/2014,27.812532,-97.395836,13.839844
3/1/2014,27.812532,-97.395836,16.629883
4/1/2014,27.812532,-97.395836,22.179688
5/1/2014,27.812532,-97.395836,24.360352
6/1/2014,27.812532,-97.395836,29.09961
7/1/2014,27.812532,-97.395836,29.29004
8/1/2014,27.812532,-97.395836,30.05957
9/1/2014,27.812532,-97.395836,28.05957
10/1/2014,27.812532,-97.395836,24.990234
11/1/2014,27.812532,-97.395836,16.519531
12/1/2014,27.812532,-97.395836,15.969727
1/1/2015,27.812532,-97.395836,10.870117
2/1/2015,27.812532,-97.395836,13.540039
3/1/2015,27.812532,-97.395836,16.759766
4/1/2015,27.812532,-97.395836,23.05957
5/1/2015,27.812532,-97.395836,26.030273
6/1/2015,27.812532,-97.395836,28.29004
7/1/2015,27.812532,-97.395836,29.620117
8/1/2015,27.812532,-97.395836,29.450195
9/1/2015,27.812532,-97.395836,27.980469
10/1/2015,27.812532,-97.395836,24.94043
